"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitSim","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"Affiliate_Impressions","1_119_7","revenue","Affiliate_Impressions",2018-01-06,2020-02-29,"113 weeks",0.3,2366.21946902655,3,23662.1946902655,3,0,0,7,55211.7876106195,891276,74527777,7887.3982300885,659537.849557522,0.0119589773890613,891276,74527777,7887.3982300885,659537.849557522,0.0119589773890613,7887.3982300885,659537.849557522,0.0119589773890613,74527777,0,0,5353.46492214534,0,604941.536202424,0,0,Inf,4669.29451014175,-0.992920353982301,0,-1,195495.13539823,-0.703587693216718,0,22090950.3,0,-1,4669.29451014149,-0.992920353982301,0,527630.279645988,0,0,1967.2803969399,222302.684854208,0,NA,NA,NA,0,0,1004.75330537264,113537.123507109,0,NA,NA,NA,-0.632522034691594,-0.812317196435463
"Facebook_Impressions","1_119_7","revenue","Facebook_Impressions",2018-01-06,2020-02-29,"113 weeks",0.3,48412.1469026549,3,484121.469026549,3,0,0,7,1129616.76106195,18235242,74527777,161373.82300885,659537.849557522,0.244677122195661,18235242,74527777,161373.82300885,659537.849557522,0.244677122195661,161373.82300885,659537.849557522,0.244677122195661,74527777,1403.76499886356,442.865952128157,5353.46492214534,0.00796113285775846,604941.536202424,0.262216157064314,0.00869883958060893,114.957861992208,4669.29451014175,-0.992920353982301,48412.1469026549,-0.7,195495.13539823,-0.703587693216718,0.247638626935845,22090950.3,1.5790694249212e-18,-1,4669.29451014149,-0.992920353982301,3.38181586424145e-22,527630.279645988,13.3409963589021,0.000793193030414585,1967.2803969399,222302.684854208,0.00678144121176323,0.000275571260777334,3628.82543404268,-0.990496275110362,0.000628099527532666,1.0517782019127e-06,1004.75330537264,113537.123507109,6.25128102763211e-07,397765619180429,2.51404332546497e-15,-0.999999552560772,-0.632522034691594,-0.812317196435463
"Google_Impressions","1_119_7","revenue","Google_Impressions",2018-01-06,2020-02-29,"113 weeks",0.3,147082.988495575,3,1470829.88495575,3,0,0,7,3431936.39823009,55401259,74527777,490276.628318584,659537.849557522,0.743363900415277,55401259,74527777,490276.628318584,659537.849557522,0.743363900415277,490276.628318584,659537.849557522,0.743363900415277,74527777,3949.69992328178,4174.78584277648,5353.46492214534,0.00616934440586192,604941.536202424,0.737783842935686,0.0080560640567905,124.130095410189,4669.29451014175,-0.992920353982301,147082.988495575,-0.7,195495.13539823,-0.703587693216718,0.752361373064155,22090950.3,4669.29451014149,-0.990476204166299,4669.29451014149,-0.992920353982301,1,527630.279645988,1953.93940058099,0.00668561881457208,1967.2803969399,222302.684854208,0.993218558788237,0.0132846049741488,75.2751024171174,-0.50529421512167,1004.75267727312,0.00657660040349128,1004.75330537264,113537.123507109,0.999999374871897,0.215182973592872,4.64720783109918,-0.745612908122328,-0.632522034691594,-0.812317196435463
