"","Affiliate_Impressions_alphas","Affiliate_Impressions_gammas","Affiliate_Impressions_thetas","Email_Impressions_alphas","Email_Impressions_gammas","Email_Impressions_thetas","Facebook_Impressions_alphas","Facebook_Impressions_gammas","Facebook_Impressions_thetas","Google_Impressions_alphas","Google_Impressions_gammas","Google_Impressions_thetas","Organic_Views_alphas","Organic_Views_gammas","Organic_Views_thetas","train_size","Google_Impressions_inflexion","Facebook_Impressions_inflexion","Affiliate_Impressions_inflexion","Organic_Views_inflexion","Email_Impressions_inflexion","Google_Impressions_inflation","Facebook_Impressions_inflation","Affiliate_Impressions_inflation","Organic_Views_inflation","Email_Impressions_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.49322135375,0.38565504199,0.23823229155,1.76929322875,0.80867595149,0.12141725664,2.85980264775,0.55946320512,0.05461102743,1.04889158825,0.87113780164,0.24390245709,2.55883168075,0.82570112168,0.13510882842,0.63491753957,2455666.61530016,656628.29486707,7711.60078332252,37438.6312399674,843329.957526395,1.31923270801879,1.0572440815774,1.30960818962996,1.15172441043993,1.13707906923023,0.0866332851177904,-0.115004201731471,-0.505245683030185,0.151971122004681,0.213102726920975,0.312687324322884,0.213102726920975,0.0504574940487895,0,863705.991540199,0.1526557707,5654727.87225015,1e-04,0,0.244479656219482,18.9658153057098,"1_31_15",1,31,15,465,TRUE,TRUE,3,0.0289693245856221,1,FALSE
"2",2.9133326445,0.61919724053,0.23444324694,2.78278013725,0.84467143969,0.18835001853,2.94006169025,0.8343635815,0.016736705829,1.12354106975,0.52469426791,0.21552152313,2.972903934,0.74769722158,0.19533019665,0.62829382223,1438732.82846882,960120.673489242,12345.8625808633,36159.5164003576,907781.607569402,1.27198907761049,1.01687879948328,1.30319015491657,1.23518753955617,1.22998778751965,0.00324654193801466,-0.168021306973475,-0.677492906075213,0.159445802793242,0.21636376291705,0.329793925107465,0.21636376291705,0.0195293378242718,0,1508568.64232568,0.2667067309,5654727.87225015,1e-04,0,0.396480321884155,28.4371116161346,"1_47_8",1,47,8,698,TRUE,TRUE,3,0.0292476683723054,1,FALSE
"3",2.393625331,0.57423963553,0.19298704545,1.2237419675,0.7641848722,0.13578700227,2.9728538475,0.63321094772,0.0019126599225,1.13342049675,0.94437134188,0.16176493923,2.36639157075,0.63108300421,0.13922467722,0.64073142779,2459254.87118721,723144.786592052,11100.5078192557,28737.1201190744,801800.188497619,1.19118455862668,1.00190070488735,1.2368722399001,1.15706922105232,1.1558249041767,0.0478539242012724,-0.129708677608265,-0.597217632396601,0.155163751164425,0.214503304716647,0.322098445623195,0.214503304716647,0.0206562427539237,0,1100172.35174373,0.1944774135,5654727.87225015,1e-04,0,0.415740489959717,31.4267868995667,"1_51_13",1,51,13,763,TRUE,TRUE,1,0.028179716824895,3,FALSE
"4",2.84096497225,0.335808305148,0.10641958302,2.73712701625,0.68227853181,0.12082462953,2.96950218925,0.71195552076,0.021794209986,1.15161250575,0.85617768997,0.23694928752,1.9806398925,0.4795233678,0.12507219243,0.63496218431,2397129.89406043,821400.76149194,6110.23244200382,21518.059746284,711340.314485492,1.30733688214244,1.02209103497577,1.11806996774696,1.13889485524866,1.13631899042861,0.0323991541319043,-0.134269585433793,-0.628024252204629,0.156417953364339,0.214935869487572,0.325189875783173,0.214935869487572,0.0196095203460303,0,1250390.07347255,0.2210450483,5654727.87225015,1e-04,0,0.254558324813843,36.6702945232391,"1_60_15",1,60,15,900,TRUE,TRUE,3,0.0286070934533068,1,FALSE
"5",2.8353112725,0.54428606993,0.14896139766,2.3407513535,0.65574580888,0.11259460011,2.93719321625,0.54718868377,0.04328403759,1.067559888,0.96596204577,0.28090558764,2.90495774475,0.7475374036,0.09428936223,0.63992461508,2824386.36420956,638403.019004666,10194.9439639076,32514.4619956791,681358.557942186,1.38636311033295,1.04484269578961,1.17345847587395,1.10126343579357,1.12586738837307,0.0870317638013541,-0.11769450533226,-0.506278711385885,0.151937967819189,0.213359661211127,0.312794602315784,0.213359661211127,0.0391142072194365,0,872921.334833285,0.1542856042,5654727.87225015,1e-04,0,0.243422508239746,38.2617554664612,"1_63_2",1,63,2,932,TRUE,TRUE,1,0.0277439391106165,1,FALSE
"6",2.976540147,0.47167839717,0.12973920672,1.895829321,0.8856691848,0.13976960079,2.78542757275,0.309946492367,0.07494944493,1.149789934,0.99192755072,0.24985778844,2.8907509285,0.87247876637,0.03074793969,0.64043021132,2812550.5983369,367739.899613586,8718.31094879333,35674.4713579875,930866.106288615,1.32959471213336,1.08026088706739,1.14776662797965,1.03092119795877,1.16113003719587,0.772952472812702,0.0337155233083529,0.59139948468913,0.0757699267809133,0.198382453203849,0.162913110619192,0.198382453203849,0.0947028208436889,0,51426.1719652223,0.008995266776,5654727.87225015,1e-04,0,0.278615474700928,38.9086265563965,"1_64_1",1,64,1,946,TRUE,TRUE,2,0.0270120894679861,1,FALSE
"7",2.976540147,0.47167839717,0.12973920672,1.895829321,0.8856691848,0.13976960079,2.78542757275,0.309946492367,0.07494944493,1.05648971025,0.84468949913,0.18663052254,2.49872718475,0.98273561293,0.05253677784,0.64248823136,2252561.9745531,367739.899613586,8718.31094879333,41028.5012971094,930866.106288615,1.22724746272408,1.08026088706739,1.14776662797965,1.05401122486409,1.16113003719587,0.764318268536144,0.0183818234783799,0.585169502950898,0.0771971806334438,0.199950295780656,0.164150390225567,0.199950295780656,0.109066279450782,0,51426.1719652223,0.008995266776,5654727.87225015,1e-04,0,0.229763507843018,40.1020760536194,"1_66_1",1,66,1,976,TRUE,TRUE,3,0.0319688989794307,1,FALSE
"8",2.4226889675,0.45073101652,0.27871586751,2.38919976125,0.85868624364,0.21299505453,2.94810643475,0.55438696087,0.06361216335,1.069389845,0.80078054138,0.23162282463,2.68046121125,0.7506832407,0.12063542553,0.63485631032,2230403.15768697,653785.032794188,9300.07080076773,33533.0421697679,934235.424673582,1.29836812251923,1.06730933052882,1.38234880541291,1.13331377178646,1.26813270929933,0.0839596477183732,-0.115323609020079,-0.510291985811224,0.152193386927425,0.213133247743299,0.313211024428145,0.213133247743299,0.0462825302218171,0,889399.766361574,0.1571999937,5654727.87225015,1e-04,0,0.248650789260864,40.9715209007263,"1_67_14",1,67,14,1004,TRUE,TRUE,3,0.0285236267275622,1,FALSE
"9",2.96585876675,0.327650419132,0.27871586751,2.78845565325,0.89745903098,0.15921127503,2.9834463415,0.5586751167,0.04879128528,1.08662424125,0.9932632196,0.25535137344,1.7123203655,0.76469280186,0.09678480132,0.63485631032,2831598.8876199,653693.01009126,6760.51122320226,33343.7790867669,951432.490069203,1.33929857047914,1.05083604378646,1.38234880541291,1.10422154614145,1.18774174144262,0.0892475636445077,-0.119573057952314,-0.502887508103131,0.151753476928093,0.213538886874725,0.312442294411328,0.213538886874725,0.0352890637117014,0,889399.766361574,0.1571999937,5654727.87225015,1e-04,0,0.359040975570679,47.3765542507172,"1_77_14",1,77,14,1154,TRUE,TRUE,2,0.0273953619470405,1,FALSE
"10",2.96585876675,0.327650419132,0.25785924711,2.3292572455,0.6499932807,0.12758551932,2.9834463415,0.5586751167,0.04879128528,1.08662424125,0.9932632196,0.25535137344,1.7123203655,0.76469280186,0.09678480132,0.63485631032,2831598.8876199,653693.01009126,6651.3326903396,33343.7790867669,679605.462661619,1.33929857047914,1.05083604378646,1.34389207886571,1.10422154614145,1.14505090855568,0.0845756197418491,-0.118642666402588,-0.511270654747529,0.152142208705255,0.213450140514009,0.313312488337525,0.213450140514009,0.0354213341071199,0,889399.766361574,0.1571999937,5654727.87225015,1e-04,0,0.240347862243652,48.5603070259094,"1_79_14",1,79,14,1184,TRUE,TRUE,2,0.0275232972513289,1,FALSE
