"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","Affiliate_Impressions_thetas","Email_Impressions_thetas","Facebook_Impressions_thetas","Google_Impressions_thetas","Organic_Views_thetas","Affiliate_Impressions_alphas","Email_Impressions_alphas","Facebook_Impressions_alphas","Google_Impressions_alphas","Organic_Views_alphas","Affiliate_Impressions_gammas","Email_Impressions_gammas","Facebook_Impressions_gammas","Google_Impressions_gammas","Organic_Views_gammas","cluster","n","top_sol"
"1","1_31_15",0,0.0504574940487895,0.213102726920975,0.312687324322884,0.151971122004681,0.213102726920975,0.784260707264635,0.396845296260825,0.260912844515593,0.651971272079007,0.511250729296936,0.785597960444762,0.499246025242985,0.360375578552647,0.226457964693452,0.751877595905649,0.0970785476588838,0.67075794804106,0.389708080829221,0.739365108337787,0.739117470033851,1,64,FALSE
"2","1_47_8",0,0.0195293378242718,0.21636376291705,0.329793925107465,0.159445802793242,0.21636376291705,0.770797730058971,0.632548648059973,0.0773772825172442,0.468408230537818,0.740495835781562,0.971164854416342,0.919717436373946,0.729403971504183,0.363237259819014,1,0.444230424896512,0.73292786706068,0.809098774858048,0,0.618629722821301,1,64,FALSE
"3","1_51_13",0,0.0206562427539237,0.214503304716647,0.322098445623195,0.155163751164425,0.214503304716647,0.623498356960985,0.447448276234347,0.00554128700552606,0.120719812057454,0.526918559905285,0.74160551129957,0.272909891309526,0.880181213724357,0.381339208207021,0.636562690445049,0.377402600762688,0.593914795332973,0.502218355858162,0.895657026476764,0.438503032670511,3,54,FALSE
"4","1_60_15",0,0.0196095203460303,0.214935869487572,0.325189875783173,0.156417953364339,0.214935869487572,0.315912700573767,0.39475836316185,0.101885493582851,0.606999356904555,0.473044196401711,0.939199409880415,0.900777051403593,0.864770401195409,0.414672194825794,0.40541068004209,0.0229832090988738,0.452449550551553,0.622351844117191,0.707437871981125,0.204398338725931,1,64,FALSE
"5","1_63_2",0,0.0391142072194365,0.213359661211127,0.312794602315784,0.151937967819189,0.213359661211127,0.467069400939436,0.365776359955594,0.206023268725037,0.891301210969561,0.35586297992477,0.936702120411754,0.736330295499136,0.716214823995439,0.260663652793211,0.959284951615483,0.332877728628201,0.406623328477196,0.370981951401402,0.941734991762617,0.618382861980374,1,64,FALSE
"6","1_64_1",0,0.0947028208436889,0.198382453203849,0.162913110619192,0.0757699267809133,0.198382453203849,0.398770411324703,0.461472974954789,0.359470989671149,0.690489339790672,0.113979399320396,0.999084170494913,0.551742815108875,0.0184014713621715,0.411332719798352,0.950771873584272,0.224949097065831,0.80373747740167,0.00904295147843609,0.997149472078372,0.811371972967445,1,64,FALSE
"7","1_66_1",0,0.109066279450782,0.199950295780656,0.164150390225567,0.0771971806334438,0.199950295780656,0.398770411324703,0.461472974954789,0.359470989671149,0.281546165006672,0.196923122930194,0.999084170494913,0.551742815108875,0.0184014713621715,0.240379906956883,0.715861485366131,0.224949097065831,0.80373747740167,0.00904295147843609,0.682920261929146,0.981678829929001,1,64,FALSE
"8","1_67_14",0,0.0462825302218171,0.213133247743299,0.313211024428145,0.152193386927425,0.213133247743299,0.928104213069457,0.719336006393658,0.304531541032579,0.572548703162057,0.456154724602376,0.754443178059718,0.756430377900635,0.766393437638679,0.264016659720259,0.824761039023742,0.19381158717974,0.757133657014304,0.381963713116445,0.589211625043086,0.623242039852131,1,64,FALSE
"9","1_77_14",0,0.0352890637117014,0.213538886874725,0.312442294411328,0.151753476928093,0.213538886874725,0.928104213069457,0.529936723552018,0.232710896572121,0.726020910844194,0.365362385480089,0.994366109828695,0.92207207184225,0.928885146844027,0.295595024681705,0.244626938600465,0.0108568119747158,0.824100412283725,0.388505765453112,1,0.644881733014151,1,64,FALSE
"10","1_79_14",0,0.0354213341071199,0.213450140514009,0.313312488337525,0.152142208705255,0.213450140514009,0.853997879168998,0.418566799264735,0.232710896572121,0.726020910844194,0.365362385480089,0.994366109828695,0.731561665761625,0.928885146844027,0.295595024681705,0.244626938600465,0.0108568119747158,0.396687799637538,0.388505765453112,1,0.644881733014151,1,64,FALSE
"11","1_81_14",0,0.0384467285923148,0.213505141104841,0.32143634804601,0.155210100386142,0.213505141104841,0.989958393613216,0.418566799264735,0.232710896572121,0.332877553150765,0.747175467938964,0.806262930229095,0.454457723135663,0.928885146844027,0.295595024681705,0.492119881506734,0.424952096378978,0.396687799637538,0.388505765453112,0.998974466109488,0.576695757998396,1,64,FALSE
"12","1_84_1",0,0.0213583300424988,0.214646572822287,0.318440593766733,0.153781934771153,0.214646572822287,0.825618441223099,0.406946419038988,0.0776052062504722,0.40380048545615,0.502078330915925,0.9511763620254,0.961844371068357,0.784770900718495,0.41269826166559,0.480905834845057,0.0633763867005895,0.476217808228647,0.535220231513614,0.632534914981063,0.199586535982194,1,64,FALSE
"13","1_86_4",0,0.0540460714904488,0.212494539812721,0.300723867807442,0.147111231255947,0.212494539812721,0.863933309431861,0.721992515166372,0.0784758382001443,0.807335832526319,0.233027128273765,0.931414176646933,0.393619485042203,0.757464132567595,0.46441338683614,0.442621062583429,0.133926511383205,0.637130304315408,0.261076246413699,0.783306976649245,0.887605906750636,1,64,FALSE
"14","1_92_4",0,0.0540460714904488,0.212494539812721,0.300723867807442,0.147111231255947,0.212494539812721,0.863933309431861,0.721992515166372,0.0784758382001443,0.807335832526319,0.233027128273765,0.931414176646933,0.393619485042203,0.757464132567595,0.46441338683614,0.88125224879648,0.133926511383205,0.637130304315408,0.261076246413699,0.783306976649245,0.715903740019309,1,64,FALSE
"15","1_93_4",0,0.0384478802443893,0.21349450141147,0.321986029006691,0.155436481538682,0.21349450141147,0.781106620298306,0.607073640605481,0.18822720493607,0.870131630764614,0.243302652455363,0.945420575327632,0.56554301287866,0.912874362902018,0.227689097753331,0.146866472015219,0.695323320134247,0.718740291663864,0.346274354221908,0.605343426526597,0.83234105937594,1,64,FALSE
"16","1_93_9",0,0.0536191374870017,0.212892507099879,0.320278117896612,0.15480651159715,0.212892507099879,0.812605607697572,0.676738761343217,0.255407606539039,0.58058172642941,0.195783979894801,0.513842845725759,0.310580470021138,0.785060246155679,0.340667113544127,0.824800215898214,0.526334578740342,0.733280707266208,0.319515012029865,0.683653429798594,0.824915860810651,1,64,FALSE
"17","1_94_4",0,0.0540460714904488,0.212494539812721,0.300723867807442,0.147111231255947,0.212494539812721,0.863933309431861,0.721992515166372,0.0784758382001443,0.807335832526319,0.233027128273765,0.977578027738636,0.393619485042203,0.757464132567595,0.46441338683614,0.442621062583429,0.133926511383205,0.637130304315408,0.261076246413699,0.783306976649245,0.887605906750636,1,64,FALSE
"18","1_95_11",0,0.064103496477878,0.212024447154515,0.298427164479152,0.146455767329435,0.212024447154515,0.958979457312342,0.425650871325692,0.25020676654495,0.724977846634601,0.46683586167979,0.703223896115215,0.192569357576315,0.603952471592203,0.367056892140184,0.921364621046284,0.137173289387374,0.489035125673231,0.282779180107036,0.83145105996641,0.974382541756328,1,64,FALSE
"19","1_97_4",0,0.026778231826589,0.214051081870902,0.315665141859701,0.152941456278919,0.214051081870902,0.948334796593258,0.315358521709413,0.157371524811222,0.870131630764614,0.487564174647693,0.984577002906397,0.642992975757827,0.812316488401624,0.308074124542289,0.146866472015219,0.00569511705229405,0.753954875568102,0.443239109913426,0.601149410100813,0.686898608663107,1,64,FALSE
"20","1_98_4",0,0.0540460714904488,0.212494539812721,0.300723867807442,0.147111231255947,0.212494539812721,0.880117776250902,0.721992515166372,0.0784758382001443,0.807335832526319,0.233027128273765,0.931414176646933,0.393619485042203,0.757464132567595,0.46441338683614,0.442621062583429,0.129797155428619,0.637130304315408,0.261076246413699,0.783306976649245,0.887605906750636,1,64,FALSE
